Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Africa (UN),,2011,2779,106179,665071,1118198,1025918,859000,755216,775408,785587,598975,4251030
Africa (UN),,2012,2938,109426,683097,1127239,1036836,860229,747512,763607,771966,585526,4053876
Africa (UN),,2013,3226,115396,707891,1146519,1061514,874930,752901,763398,771134,585505,3977918.8
Africa (UN),,2014,3529,120548,729610,1169731,1093977,894425,765854,775832,783683,598626,3991007
Africa (UN),,2015,3645,121538,743370,1194944,1120889,907998,773148,777998,780684,604345,3956423
Africa (UN),,2016,3979,126425,760609,1221172,1147957,921760,782786,781579,780997,609422,3904068
Africa (UN),,2017,4339,131132,777412,1250085,1176646,935699,792508,784350,782937,619138,3876574
Africa (UN),,2018,4770,137340,792421,1273462,1198055,940275,791245,774517,770666,608632,3718964
Africa (UN),,2019,5281,145426,812774,1308679,1234289,957666,803377,780805,788511,619590,3664630
Africa (UN),,2020,5987,169118,906375,1473817,1410475,1047435,839187,753563,750347,614960,3561154
Africa (UN),,2021,6191,176633,960312,1565126,1500550,1152093,949253,833745,800689,624629,3527817
Africa (UN),,2022,5561,154800,864645,1436679,1372396,1043944,868626,814624,841588,650303,3574991
Africa (UN),,2023,6160,162068,876041,1452421,1360179,1021316,850475,790448,802814,624497,3394422
Americas (UN),,1950,3444,78674,371677,589835,540356,386042,271180,204041,193215,134799,1746092.1
Americas (UN),,1951,2945,76307,373312,595405,546474,393703,271854,202875,192614,133546,1748936
Americas (UN),,1952,2676,73859,371640,597875,550898,394717,271536,199782,190680,132630,1752184.9
Americas (UN),,1953,2651,75279,379769,606249,558583,395774,270605,196255,186431,129988,1742616
Americas (UN),,1954,2613,74419,373764,602522,552241,388358,265101,191483,180861,126242,1734188
