,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
61379,31434,Annette Edmondson,F,20.0,171.0,65.0,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Omnium,Bronze
61419,31457,Ann-Louise Carina Edstrand,F,26.0,178.0,67.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
61420,31457,Ann-Louise Carina Edstrand,F,30.0,178.0,67.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
61447,31473,Anthony John Edwards,M,31.0,183.0,72.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
61542,31513,Batrice Edwige,F,27.0,182.0,76.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Silver
61610,31545,"Kenneth ""Kenny"" Egan",M,26.0,187.0,81.0,Ireland,IRL,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Light-Heavyweight,Silver
61619,31551,Aaron Egbele,M,25.0,181.0,79.0,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
61676,31572,Gerritjan Eggenkamp,M,28.0,196.0,93.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Silver
61713,31592,Romy Eggimann,F,18.0,157.0,54.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
61716,31595,Markus Eggler,M,33.0,179.0,89.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,Bronze
61717,31595,Markus Eggler,M,41.0,179.0,89.0,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Curling,Curling Men's Curling,Bronze
61721,31599,"Richard Phillip ""Ric"" Egington",M,29.0,198.0,104.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
